X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
2298787.0,9752022.0,train,0.0010839869036226224,58.526327390151046,0.6081226504834034
2298790.0,9755422.0,train,0.002164383149036418,83.05454881749354,0.7560081368708912
2298796.0,9752944.0,train,6.256529278955527E-4,39.020890712884764,0.4724834227112601
2298797.0,9753412.0,train,7.202419986104261E-4,44.01262365026255,0.5076528640073777
2298804.0,9751570.0,train,8.264037311274372E-4,48.00519986420374,0.5419288044210897
2298813.0,9750376.0,train,7.291409416580495E-4,44.562439054232335,0.5107217639126422
2298816.0,9752140.0,train,0.0012001867811076681,63.10566096100927,0.6321052577599214
2298824.0,9751576.0,train,3.589688020840277E-4,25.26457721189547,0.33945184425646363
2298838.0,9755474.0,train,0.0016563848345732596,74.08098728417002,0.7033745441294851
2298863.0,9750410.0,train,0.001990972377465635,79.74783996132537,0.7402762790578603
2298878.0,9751944.0,train,4.965487678971301E-4,33.42703749597361,0.4154957379836075
2298893.0,9751770.0,train,5.481769961750431E-4,36.11261005300641,0.43970110394510603
2298939.0,9752476.0,train,0.0012663145869277294,65.16881441565143,0.644486956020896
2298943.0,9752722.0,train,0.0017255769620465535,75.40185545147745,0.711841239092142
2298985.0,9751874.0,train,0.001436629264943619,70.80542791157905,0.6728451136020801
2298986.0,9752544.0,train,2.29207706250203E-4,16.4198177463233,0.24706176905752325
2299013.0,9751776.0,train,8.439882520377558E-4,49.00367688608993,0.5471507716058593
2299019.0,9751714.0,train,7.896215305251816E-4,46.60489400339363,0.5306067693308161
2299032.0,9750374.0,train,0.0018561075478486042,77.78041499420979,0.726564885633891
2299036.0,9751648.0,train,8.347204738325577E-4,48.49505802293829,0.5444135050700524
2299039.0,9755438.0,train,0.0039974583203318155,97.65262238964335,0.8512502263049754
2299087.0,9754908.0,train,0.0019728883149023745,79.32195502588841,0.7385180872479812
2299093.0,9756538.0,train,0.002353494257880916,86.71424552674675,0.7711265034422321
2299098.0,9752698.0,train,0.0011656076557589386,61.563343954851646,0.6252809222203674
2299103.0,9752028.0,train,0.0015058512011429537,72.52755751867434,0.6831184403998948
2299111.0,9751826.0,train,2.0206225154599985E-4,14.24857710026586,0.2243667866609964
2299118.0,9751926.0,train,0.003935309720972698,97.25289388104116,0.8492552076575579
2299121.0,9754766.0,train,0.002310454730309215,85.31393188004861,0.7678527686722191
2299130.0,9755002.0,train,0.0011242714309442517,59.84715248820201,0.6167832879030175
2299131.0,9753244.0,train,0.0015521335472266017,73.11396171920708,0.6896347602032663
2299184.0,9754594.0,train,1.218794495519607E-4,8.16732432725807,0.14855989077994025
2299185.0,9754496.0,train,8.647171968331725E-4,50.29011626486341,0.5531556481393344
