Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.75881E-4,17.25906356,0.231499861,0.073517322,0.058333333,0
1.78643E-4,17.507118171,0.23428415,0.072695244,0.058333333,0
1.80944E-4,17.758604659,0.236587321,0.071873165,0.058333333,0
1.83404E-4,18.01366807,0.239035454,0.071051086,0.0625,0
1.86356E-4,18.254794397,0.241951165,0.070287728,0.066666667,0
1.88081E-4,18.517071242,0.24364515,0.069465649,0.066666667,0
1.91647E-4,18.763854427,0.247123683,0.06870229,0.066666667,0
1.94911E-4,19.014955158,0.250278888,0.067938931,0.070833333,0
1.96886E-4,19.250119138,0.252175025,0.067234292,0.070833333,0
1.99852E-4,19.508208983,0.255005816,0.066470934,0.070833333,0
2.0325E-4,19.750606212,0.258221324,0.065766295,0.075,0
2.06766E-4,20.017481341,0.261520394,0.065002936,0.075,0
2.09002E-4,20.266930389,0.263603304,0.064298297,0.075,0
2.12726E-4,20.520041862,0.267046087,0.063593658,0.075,0
2.14113E-4,20.754972129,0.268319686,0.062947739,0.075,0
2.18735E-4,21.015159997,0.272533332,0.0622431,0.079166667,0
2.22993E-4,21.258630861,0.276372004,0.061597181,0.079166667,0
2.28025E-4,21.507149448,0.28085715,0.060951262,0.079166667,0
2.30975E-4,21.759750547,0.283460606,0.060305344,0.079166667,0
2.34204E-4,22.016176843,0.286289493,0.059659425,0.083333333,0
2.36169E-4,22.251598962,0.287999073,0.059072225,0.083333333,0
2.41792E-4,22.514728213,0.292848591,0.058426307,0.0875,0
2.43461E-4,22.757595157,0.294274788,0.057839107,0.0875,0
2.46339E-4,23.002581051,0.296721111,0.057251908,0.0875,0
2.5031E-4,23.251622023,0.300069325,0.056664709,0.0875,0
2.52894E-4,23.503164958,0.302230629,0.05607751,0.0875,0
2.55116E-4,23.757061857,0.304078968,0.055490311,0.091666667,0
2.60339E-4,24.014749867,0.308384573,0.054903112,0.095833333,0
2.62823E-4,24.250143733,0.310413287,0.054374633,0.1,0
2.67041E-4,24.515016543,0.313832051,0.053787434,0.1,0
2.71897E-4,24.757475751,0.317725679,0.053258955,0.1,0
2.76724E-4,25.004861459,0.321552542,0.052730476,0.104166667,0
2.79575E-4,25.255147633,0.323792554,0.052201996,0.104166667,0
2.82403E-4,25.508094687,0.326000092,0.051673517,0.108333333,0
2.86601E-4,25.764058047,0.329250452,0.051145038,0.108333333,0
2.90411E-4,26.023810052,0.33217326,0.050616559,0.108333333,0
2.92734E-4,26.257177672,0.333943451,0.0501468,0.1125,0
2.97774E-4,26.523398685,0.337750674,0.049618321,0.116666667,0
3.01284E-4,26.763310662,0.340376876,0.049148561,0.116666667,0
3.03692E-4,27.00538991,0.342166166,0.048678802,0.116666667,0
3.07228E-4,27.279774397,0.344776906,0.048150323,0.116666667,0
3.10957E-4,27.527479074,0.347507579,0.047680564,0.116666667,0
3.13163E-4,27.777371887,0.349112416,0.047210804,0.116666667,0
3.15303E-4,28.028649028,0.350660955,0.046741045,0.116666667,0
3.19032E-4,28.25100436,0.353342933,0.046330006,0.120833333,0
3.22344E-4,28.507654798,0.355706705,0.045860247,0.125,0
3.2558E-4,28.767190354,0.357998878,0.045390487,0.133333333,0
3.31635E-4,29.030806184,0.362245097,0.044920728,0.1375,0
3.34824E-4,29.264088249,0.364458893,0.044509689,0.141666667,0
3.38483E-4,29.500007231,0.366980264,0.044098649,0.145833333,0
3.43637E-4,29.773188548,0.370497645,0.04362889,0.145833333,0
3.47313E-4,30.015150023,0.372982723,0.043217851,0.145833333,0
3.49887E-4,30.259296373,0.374711183,0.042806812,0.154166667,0
3.52557E-4,30.50533756,0.376494215,0.042395772,0.154166667,0
3.54101E-4,30.752825,0.377520335,0.041984733,0.154166667,0
3.56578E-4,31.001888234,0.379159768,0.041573693,0.154166667,0
3.6092E-4,31.253291685,0.382013334,0.041162654,0.154166667,0
3.6419E-4,31.507282422,0.384144673,0.040751615,0.154166667,0
3.67228E-4,31.763463558,0.386111881,0.040340575,0.154166667,0
3.69896E-4,32.021507517,0.387829429,0.039929536,0.158333333,0
3.74799E-4,32.282559546,0.390959871,0.039518497,0.1625,0
3.82086E-4,32.509471531,0.395554322,0.039166177,0.166666667,0
3.88441E-4,32.779501773,0.399505336,0.038755138,0.175,0
3.90294E-4,33.01342414,0.400647707,0.038402819,0.179166667,0
3.94179E-4,33.288616146,0.40302824,0.037991779,0.183333333,0
3.96198E-4,33.525888802,0.40425801,0.03763946,0.183333333,0
3.99057E-4,33.764642023,0.405990927,0.03728714,0.183333333,0
4.03037E-4,34.00536732,0.408386531,0.036934821,0.1875,0
4.07943E-4,34.28969951,0.411312882,0.036523782,0.1875,0
4.13243E-4,34.536123986,0.414441687,0.036171462,0.191666667,0
4.2245E-4,34.785439807,0.419799043,0.035819143,0.191666667,0
4.29067E-4,35.040879671,0.423589578,0.035466823,0.191666667,0
4.3339E-4,35.256774188,0.426038919,0.035173224,0.191666667,0
4.3693E-4,35.518457006,0.428029248,0.034820904,0.191666667,0
4.4111E-4,35.781947166,0.430362062,0.034468585,0.191666667,0
4.43576E-4,36.003365652,0.431729407,0.034174985,0.191666667,0
4.49705E-4,36.27202294,0.435099278,0.033822666,0.2,0
4.53706E-4,36.543186713,0.437277191,0.033470346,0.204166667,0
4.58049E-4,36.771502878,0.439623055,0.033176747,0.204166667,0
4.59877E-4,37.001037286,0.440604547,0.032883147,0.204166667,0
4.68187E-4,37.278927742,0.445022936,0.032530828,0.204166667,0
4.75231E-4,37.514762037,0.448714315,0.032237228,0.204166667,0
4.7862E-4,37.753219824,0.450472374,0.031943629,0.204166667,0
4.83356E-4,38.042466008,0.452911247,0.031591309,0.208333333,0
4.8741E-4,38.285432835,0.454981527,0.03129771,0.2125,0
4.90433E-4,38.529951628,0.456515356,0.03100411,0.216666667,0
4.94932E-4,38.776241725,0.458781832,0.030710511,0.220833333,0
4.99164E-4,39.025200285,0.460896502,0.030416911,0.220833333,0
5.03085E-4,39.27577148,0.46284125,0.030123312,0.225,0
5.07652E-4,39.529180158,0.46508877,0.029829712,0.225,0
5.17933E-4,39.786317789,0.47008039,0.029536113,0.225,0
5.25083E-4,40.047763501,0.473496954,0.029242513,0.229166667,0
5.27336E-4,40.258352702,0.47456417,0.029007634,0.233333333,0
5.3174E-4,40.523587829,0.476638554,0.028714034,0.2375,0
5.40964E-4,40.791451606,0.480930422,0.028420435,0.2375,0
5.43374E-4,41.008524388,0.482040267,0.028185555,0.2375,0
5.49783E-4,41.282259493,0.484968332,0.027891955,0.2375,0
5.53525E-4,41.503499318,0.486662691,0.027657076,0.2375,0
5.59735E-4,41.78198379,0.48945048,0.027363476,0.241666667,0
5.63025E-4,42.006360489,0.490914785,0.027128597,0.245833333,0
5.68874E-4,42.289403257,0.493497964,0.026834997,0.25,0
5.72471E-4,42.517831552,0.49507372,0.026600117,0.25,0
5.78718E-4,42.806061007,0.497786658,0.026306518,0.25,0
5.82895E-4,43.038448236,0.499584752,0.026071638,0.25,0
5.8883E-4,43.273250406,0.502117167,0.025836759,0.25,0
5.90025E-4,43.509043105,0.502624316,0.025601879,0.25,0
5.95585E-4,43.806035535,0.504968825,0.02530828,0.2625,0
6.05345E-4,44.047299982,0.509031506,0.0250734,0.2625,0
6.12634E-4,44.291500541,0.512022379,0.02483852,0.2625,0
6.15563E-4,44.5374301,0.513214244,0.024603641,0.266666667,0
6.2008E-4,44.785139579,0.515040656,0.024368761,0.266666667,0
6.21858E-4,45.033559905,0.515755644,0.024133881,0.270833333,0
6.30837E-4,45.285187746,0.519335331,0.023899002,0.275,0
6.35067E-4,45.538808334,0.521003308,0.023664122,0.275,0
